Authors,Title,Year,Abstract,Cited by,Source title,DOI
Romero C.; Ventura S.,Educational data mining and learning analytics for academic performance prediction,2020,This study reviews predictive analytics methods for academic performance in higher education using machine learning and learning management system data.,120,Computers & Education,10.0000/demo001
Albreiki B.; Zaki N.; Alashwal H.,A systematic literature review of student performance prediction using machine learning,2021,The paper analyzes machine learning approaches for predicting student success and dropout risk in higher education.,95,Education and Information Technologies,10.0000/demo002
Hellas A.; Ihantola P.,Predicting academic achievement with machine learning models,2020,The research compares classification algorithms for early identification of students at academic risk.,80,IEEE Access,10.0000/demo003
Yağcı M.,Educational data mining: prediction of students academic performance,2022,The study applies machine learning methods to predict academic performance using demographic and activity variables.,75,Smart Learning Environments,10.0000/demo004
Khan I.; Ahmad A.,Student performance prediction using ensemble machine learning,2023,The article evaluates ensemble models for student grade prediction and compares accuracy and interpretability.,54,Applied Sciences,10.0000/demo005
Adekitan A.; Salau O.,The impact of engineering students performance using machine learning,2020,This work studies academic records and predictive factors associated with student achievement.,49,Heliyon,10.0000/demo006
Hussain S.; Dahan N.,Educational data mining and analysis of students academic performance,2021,The study uses classification techniques to detect academic risk and improve decision support in universities.,42,International Journal of Emerging Technologies in Learning,10.0000/demo007
Rastrollo-Guerrero J.; Gómez-Pulido J.,Analyzing and predicting students performance by means of machine learning,2022,The paper presents a comparative analysis of supervised learning algorithms in educational contexts.,39,Applied Sciences,10.0000/demo008
Miguéis V.; Freitas A.,Early segmentation of students according to academic performance,2021,The research uses predictive models to segment students and support timely academic interventions.,37,Decision Support Systems,10.0000/demo009
Alamri A.; Cristea A.,Machine learning approaches for student academic performance prediction,2024,This article examines feature selection and predictive modeling for higher education analytics.,21,IEEE Transactions on Learning Technologies,10.0000/demo010
García E.; Weiss C.,Explainable artificial intelligence for student success prediction,2025,The paper studies explainable machine learning for predicting student success and improving institutional decisions.,12,Education Sciences,10.0000/demo011
Noriega M.; Flores J.,Predictive learning analytics in higher education using classification models,2026,The study explores classification models for academic performance prediction in online and blended learning environments.,5,Journal of Learning Analytics,10.0000/demo012
